,title,money,exp,company_name,industry
0,后端工程师（GO/C++）,15k-20k,经验3-5年/本科,旷视MEGVII,人工智能/D轮及以上/500-2000人
1,后端研发工程师,15k-30k,经验1-3年/本科,字节跳动,文娱丨内容/C轮/2000人以上
2,后端研发工程师（武汉）-分布式数据方向,20k-40k,经验1-3年/本科,神策数据,数据服务/C轮/150-500人
3,后端开发工程师,15k-30k,经验1-3年/本科,小红书,消费生活/D轮及以上/500-2000人
4,后端开发工程师-武汉,15k-30k,经验3-5年/本科,小米,硬件/D轮及以上/2000人以上
5,Web后端开发工程师,8k-16k,经验1-3年/本科,森果,"移动互联网,企业服务/天使轮/50-150人"
6,企业云盘后端研发工程师,12k-24k,经验1-3年/本科,青云,数据服务/D轮及以上/150-500人
7,系统开发工程师（后端/微服务）,10k-16k,经验1-3年/本科,锐视智慧,"企业服务,移动互联网/不需要融资/15-50人"
8,云粒智慧-高级后端开发工程师,10k-20k,经验3-5年/本科,云粒智慧,"移动互联网,企业服务/不需要融资/150-500人"
9,后端开发工程师,7k-8k,经验不限/大专,匠云科技（武汉）有限公司,移动互联网/未融资/15-50人
10,后端,12k-15k,经验3-5年/大专,折角软件,"移动互联网,企业服务/未融资/少于15人"
11,高级后端工程师（武汉研发中心）,30k-50k,经验3-5年/本科,美旦信息,移动互联网/A轮/50-150人
12,后端开发工程师,5k-8k,经验3-5年/不限,纬孚信息,"数据服务,移动互联网/未融资/少于15人"
13,资深后端工程师,25K-50K,经验3-5年/本科,艾能进,企业服务/未融资/15-50人
14,中级后端,20k-30k,经验1-3年/本科,欧式达科技,"企业服务,消费生活/未融资/50-150人"
15,后端开发工程师（Python/GO）-武汉,10k-20k,经验3-5年/本科,旷视MEGVII,人工智能/D轮及以上/500-2000人
16,后端研发工程师（武汉）-web方向,20k-40k,经验1-3年/本科,神策数据,数据服务/C轮/150-500人
17,后端开发工程师-效率工程,20k-40k,经验1-3年/本科,字节跳动,文娱丨内容/C轮/2000人以上
18,高级后端工程师,15k-30k,经验3-5年/本科,小红书,消费生活/D轮及以上/500-2000人
19,OpenPitrix 后端研发工程师,13k-26k,经验3-5年/本科,青云,数据服务/D轮及以上/150-500人
20,GO后端开发工程师,18k-35k,经验3-5年/本科,小米,硬件/D轮及以上/2000人以上
21,游戏后端,8k-15k,经验1-3年/本科,折角软件,"移动互联网,企业服务/未融资/少于15人"
22,后端老师（班主任）,6k-8k,经验应届毕业生/本科,尚德机构,教育/上市公司/500-2000人
23,微信web前后端开发,7k-8k,经验1-3年/大专,江苏运钢,移动互联网/未融资/15-50人
24,node.js 后端工程师,8k-15k,经验1-3年/本科,睿佳科技,"医疗丨健康,企业服务/天使轮/少于15人"
25,技术研发岗,12k-20k,经验1-3年/不限,长江证券,金融/上市公司/2000人以上
26,java后端开发（武汉）,12k-18k,经验3-5年/本科,格灵深瞳,"企业服务,数据服务/C轮/150-500人"
27,后端JAVA工程师,13k-23k,经验5-10年/大专,华润医疗,医疗丨健康/上市公司/2000人以上
28,服务器开发工程师,15k-25k,经验1-3年/本科,微派,社交/B轮/50-150人
29,互联网产品研发工程师,11k-18k,经验应届毕业生/本科,多益网络,"移动互联网,游戏/不需要融资/500-2000人"
30,后端工程师（GO/C++）,8k-15k,经验3-5年/本科,旷视MEGVII,人工智能/D轮及以上/500-2000人
31,资深后端开发工程师-效率工程,40k-80k,经验不限/本科,字节跳动,文娱丨内容/C轮/2000人以上
32,后端开发工程师,10k-20k,经验1-3年/本科,青云,数据服务/D轮及以上/150-500人
33,PHP/GO后端开发工程师,13k-26k,经验1-3年/本科,小米,硬件/D轮及以上/2000人以上
34,Flutter开发工程师,15k-30k,经验5-10年/大专,武汉无忧分发,"文娱丨内容,消费生活/未融资/15-50人"
35,安全开发工程师,12k-24k,经验3-5年/本科,ThoughtWorks,企业服务/不需要融资/2000人以上
36,Go服务器端开发工程师,15k-25k,经验1-3年/本科,微派,社交/B轮/50-150人
37,移动APP研发工程师,6k-10k,经验1-3年/本科,顶点软件,"移动互联网,企业服务/不需要融资/500-2000人"
38,会点前后端的ios开发工程师,6k-10k,经验1-3年/本科,武汉日创,"移动互联网,硬件/B轮/50-150人"
39,服务端开发工程师,15k-25k,经验3-5年/本科,金山办公软件,移动互联网/上市公司/2000人以上
40,测试开发工程师,12k-18k,经验3-5年/本科,极验,"信息安全,数据服务/B轮/50-150人"
41,前端开发工程师,10k-15k,经验3-5年/本科,联龙博通,"移动互联网,电商/D轮及以上/2000人以上"
42,golang后端,10k-17k,经验1-3年/大专,高贝科技,"移动互联网,电商/未融资/50-150人"
43,.net开发工程师,10k-14k,经验5-10年/大专,软帝联合,移动互联网/未融资/500-2000人
44,NET高级开发工程师-房地产ERP,10k-15k,经验5-10年/大专,彦旭科技,"移动互联网,企业服务/不需要融资/15-50人"
45,后端开发 Leader-效率工程,40k-80k,经验不限/本科,字节跳动,文娱丨内容/C轮/2000人以上
46,后端开发实习生,4k-6k,经验不限/本科,旷视MEGVII,人工智能/D轮及以上/500-2000人
47,Python（极验验证）,9k-18k,经验3-5年/不限,极验,"信息安全,数据服务/B轮/50-150人"
48,前端工程师,12k-20k,经验3-5年/本科,"111,Inc.","移动互联网,电商/上市公司/500-2000人"
49,H5/Cocos2d-JS游戏开发工程师,9k-13k,经验1-3年/本科,多比特,"移动互联网,文娱丨内容/不需要融资/50-150人"
50,移动端开发工程师,6k-10k,经验1-3年/本科,北京盛安德武汉分公司,"移动互联网,电商/不需要融资/150-500人"
51,高级.net开发工程师,8k-12k,经验3-5年/大专,软帝联合,移动互联网/未融资/500-2000人
52,前端开发工程师,8k-12k,经验3-5年/本科,中诚信征信,"数据服务,人工智能/不需要融资/150-500人"
53,中高级前端,10k-15k,经验3-5年/本科,普罗格集成,"移动互联网,企业服务/C轮/150-500人"
54,前端开发工程师,7k-14k,经验3-5年/本科,融智盛维,"文娱丨内容,电商/不需要融资/50-150人"
55,Vray图形渲染开发工程师,24k-40k,经验1-3年/本科,得见科技,"移动互联网,电商/A轮/15-50人"
56,C#后端研发人员,15k-20k,经验3-5年/本科,抓现货,电商/天使轮/15-50人
57,高级PHP开发工程师,15k-25k,经验1-3年/本科,微派,社交/B轮/50-150人
58,前端开发工程师,8k-16k,经验3-5年/本科,星商电子商务,电商/C轮/500-2000人
59,前端开发工程师-小米商城,15k-30k,经验3-5年/本科,小米,硬件/D轮及以上/2000人以上
60,后端开发实习生-效率工程,3k-6k,经验不限/本科,字节跳动,文娱丨内容/C轮/2000人以上
61,.net中高开发工程师,7k-11k,经验3-5年/大专,软帝联合,移动互联网/未融资/500-2000人
62,测试开发leader,15k-30k,经验5-10年/本科,极验,"信息安全,数据服务/B轮/50-150人"
63,JAVA后端工程师,10k-20k,经验1-3年/大专,武汉睿瀛新媒,电商/未融资/15-50人
64,Android研发(往python后端培养),8k-14k,经验不限/本科,森果,"移动互联网,企业服务/天使轮/50-150人"
65,前端开发工程师,10k-15k,经验3-5年/本科,途虎养车网,汽车丨出行/D轮及以上/2000人以上
66,Java后端开发工程师,4k-8k,经验1-3年/大专,湖北疯转网络信息技术有限公司,"移动互联网,数据服务/不需要融资/15-50人"
67,前端开发,10k-18k,经验3-5年/本科,开科唯识,金融/未融资/500-2000人
68,Java开发工程师,15k-25k,经验3-5年/本科,青藤云安全,数据服务/B轮/150-500人
69,武汉Web前端开发工程师,10k-13k,经验1-3年/本科,一起考教师,"移动互联网,教育/B轮/150-500人"
70,前端开发,6k-12k,经验1-3年/不限,长江云新媒体集团,"移动互联网,数据服务/未融资/150-500人"
71,服务端研发工程师,12k-24k,经验3-5年/大专,微友助手,"移动互联网,企业服务/天使轮/15-50人"
72,java高级开发工程师,12k-20k,经验3-5年/硕士,普罗格集成,"移动互联网,企业服务/C轮/150-500人"
73,高级前端工程师,10k-15k,经验3-5年/本科,北京尖峰武汉分公司,"数据服务,其他/不需要融资/50-150人"
74,python开发工程师,8k-16k,经验1-3年/本科,星商电子商务,电商/C轮/500-2000人
75,后端开发Leader,25k-40k,经验不限/本科,字节跳动,文娱丨内容/C轮/2000人以上
