title,money,exp,company_name,industry
0,数据分析工程师,12k-18k,经验应届毕业生/本科,极验,"信息安全,数据服务/B轮/50-150人"
1,数据分析师,10k-15k,经验5-10年/本科,盛天网络,"游戏,文娱丨内容/上市公司/500-2000人"
2,数据分析师,20k-40k,经验3-5年/本科,字节跳动,文娱丨内容/C轮/2000人以上
3,数据分析师,5k-8k,经验1-3年/大专,小红书,消费生活/D轮及以上/500-2000人
4,数据分析师,4k-7k,经验1-3年/本科,长江云新媒体集团,"移动互联网,数据服务/未融资/150-500人"
5,数据分析师/数据运营/数据产品经理,10k-20k,经验3-5年/本科,Helens,"消费生活,文娱丨内容/不需要融资/2000人以上"
6,数据分析师,10k-20k,经验不限/不限,悦然心动,"社交,游戏/上市公司/150-500人"
7,数据分析师/数据产品经理,18k-36k,经验5-10年/本科,小米,硬件/D轮及以上/2000人以上
8,数据分析师,5k-8k,经验1-3年/大专,去哪儿网,旅游/不需要融资/2000人以上
9,数据分析师,10k-18k,经验1-3年/本科,跟谁学,"移动互联网,教育/上市公司/2000人以上"
10,数据分析专员,6k-9k,经验3-5年/本科,天贝科技,移动互联网/未融资/150-500人
11,数据分析师,8k-12k,经验3-5年/本科,斗鱼直播,文娱丨内容/D轮及以上/2000人以上
12,数据分析-武汉,15k-30k,经验5-10年/本科,深圳市丰巢科技有限公司,消费生活/A轮/500-2000人
13,资深数据分析师,10k-20k,经验5-10年/本科,途虎养车网,汽车丨出行/D轮及以上/2000人以上
14,数据分析师助理,4k-5k,经验不限/大专,福韵数据服务有限公司,"移动互联网,数据服务/A轮/150-500人"
15,数据分析主管,15k-20k,经验5-10年/本科,盛天网络,"游戏,文娱丨内容/上市公司/500-2000人"
16,数据分析经理（光谷）,15k-30k,经验3-5年/本科,字节跳动,文娱丨内容/C轮/2000人以上
17,资深数据分析师,15k-25k,经验3-5年/本科,Today今天连锁便利,消费生活/B轮/500-2000人
18,数据分析师(J10441),15k-30k,经验不限/硕士,百分点,数据服务/D轮及以上/500-2000人
19,高级数据分析师,10k-20k,经验3-5年/不限,福韵数据服务有限公司,"移动互联网,数据服务/A轮/150-500人"
20,数据分析主管,8k-12k,经验3-5年/大专,客如云,"移动互联网,消费生活/C轮/2000人以上"
21,高级数据分析师,12k-20k,经验5-10年/本科,优品财富管理有限公司,金融/未融资/500-2000人
22,高级数据分析（对标985/211）,8k-15k,经验1-3年/本科,易佰网络科技,"电商,移动互联网/B轮/2000人以上"
23,高级数据分析师,10k-15k,经验3-5年/本科,中国婚博会,其他/不需要融资/500-2000人
24,数据分析师,5k-7k,经验1-3年/本科,湖邦达供应链,移动互联网电子商务/上市公司/2000人以上
25,高级业务数据分析师,10k-15k,经验3-5年/本科,小红书,消费生活/D轮及以上/500-2000人
26,数据分析师,5k-10k,经验1-3年/本科,掌游科技,"移动互联网,游戏/上市公司/150-500人"
27,数据分析（商业化方向）,4k-5k,经验应届毕业生/本科,微派,社交/B轮/50-150人
28,数据分析经理,12k-20k,经验5-10年/本科,安居客,"移动互联网,消费生活/上市公司/500-2000人"
29,数据分析师,8k-10k,经验应届毕业生/硕士,看电影了没,"移动互联网,文娱丨内容/不需要融资/15-50人"
30,商业化-高级数据分析师,8k-16k,经验3-5年/本科,字节跳动,文娱丨内容/C轮/2000人以上
31,数据分析产品经理,8k-15k,经验1-3年/本科,福韵数据服务有限公司,"移动互联网,数据服务/A轮/150-500人"
32,数据分析（校招/实习）,4k-8k,经验应届毕业生/本科,微派,社交/B轮/50-150人
33,亚马逊数据分析,8k-13k,经验不限/本科,易佰网络科技,"电商,移动互联网/B轮/2000人以上"
34,数据分析师,8k-15k,经验5-10年/本科,安居客,"移动互联网,消费生活/上市公司/500-2000人"
35,资深数据分析工程师\数据分析专家,15k-30k,经验5-10年/本科,斗鱼直播,文娱丨内容/D轮及以上/2000人以上
36,数据分析师,7k-14k,经验3-5年/本科,烽火科技·虹旭信息技术有限公司,"信息安全,数据服务/不需要融资/150-500人"
37,数据分析工程师,9k-15k,经验不限/本科,天风证券,金融/不需要融资/2000人以上
38,数据分析工程师,10k-15k,经验3-5年/本科,海康威视武汉研发中心,"信息安全,数据服务/上市公司/2000人以上"
39,数据分析主管/经理,20k-30k,经验5-10年/本科,慧控科技,移动互联网/不需要融资/50-150人
40,安全数据分析研究员,15k-25k,经验1-3年/本科,绿盟科技,信息安全/上市公司/500-2000人
41,数据分析助理、项目助理,4k-8k,经验应届毕业生/本科,北京知行易联科技有限公司,"企业服务,数据服务/未融资/少于15人"
42,风控数据分析师,10k-18k,经验3-5年/本科,天贝科技,移动互联网/未融资/150-500人
43,数据分析算法工程师,10k-20k,经验3-5年/硕士,三藏科技,软件开发/未融资/15-50人
44,商业化-高级数据分析师,6k-12k,经验3-5年/本科,字节跳动,文娱丨内容/C轮/2000人以上
45,商业化-数据分析支持,5k-10k,经验1-3年/本科,字节跳动,文娱丨内容/C轮/2000人以上
46,高级数据分析产品经理,25k-40k,经验5-10年/本科,斗鱼直播,文娱丨内容/D轮及以上/2000人以上
