最高气温,最低气温,天气,风向,风力
1,11,4,阴,东风,微风
2,9,4,小雨,东北风,4级
3,5,0,中雨,东北风,4级
4,1,-2,中雨,北风,微风
5,1,-2,阴,北风,2级
6,1,-1,小雨,北风,3级
7,1,-1,雨夹雪,北风,2级
8,4,-7,多云,西北风,1级
9,7,-6,多云,西北风,微风
10,11,-5,晴,西北风,1级
11,11,-6,晴,东北风,2级
12,10,-4,晴,东风,微风
13,9,0,多云,东风,1级
14,12,0,多云,东风,微风
15,11,0,阴,北风,1级
16,9,1,小雨,西南风,1级
17,11,1,多云,东北风,2级
18,8,3,阴,北风,2级
19,9,3,小雨,南风,1级
20,8,4,阴,东北风,微风
21,8,0,小雨,西南风,1级
22,10,2,多云,北风,2级
23,9,2,多云,东北风,3级
24,2,-1,小雪,东北风,4级
25,0,-2,大雪,东北风,3级
26,0,-3,小雪,东北风,3级
27,-2,-5,大雪,东北风,2级
28,0,-6,阴,东北风,2级
29,2,-8,多云,西北风,1级
30,4,-7,晴,西北风,微风
31,6,-4,晴,西风,微风
32,7,-4,晴,东北风,微风
33,6,-5,多云,东北风,3级
34,7,-4,晴,西北风,2级
35,5,-4,多云,西风,1级
36,8,-5,晴,东南风,微风
37,10,-5,晴,西北风,微风
38,9,-2,多云,西南风,微风
39,10,-3,多云,东风,1级
40,12,5,多云,北风,1级
41,10,-2,多云,东北风,2级
42,10,-2,晴,西风,微风
43,12,-1,晴,南风,1级
44,16,1,晴,南风,1级
45,15,7,多云,北风,1级
46,12,4,小雨,北风,2级
47,14,3,多云,东风,2级
48,16,7,多云,东风,1级
49,8,4,小雨,北风,2级
50,6,4,小雨,东北风,微风
51,6,3,中雨,北风,2级
52,8,3,小雨,东北风,3级
53,12,2,多云,南风,2级
54,16,5,阴,东风,2级
55,15,4,小雨,东北风,3级
56,14,3,多云,东风,微风
57,17,6,晴,东南风,1级
58,13,7,中雨,北风,2级
59,18,7,多云,东南风,1级
60,17,6,小雨,北风,4级
61,15,6,小雨,东风,1级
62,17,11,阴,北风,微风
63,20,6,中雨,北风,3级
64,11,7,阴,东北风,2级
65,10,6,小雨,东北风,3级
66,7,0,阴,北风,1级
67,14,0,多云,东北风,2级
68,14,3,晴,东南风,微风
69,19,7,多云,东风,微风
70,20,8,多云,东南风,3级
71,22,10,晴,东南风,微风
72,23,12,多云,东南风,2级
73,22,14,阴,东南风,2级
74,23,8,多云,东北风,4级
75,12,8,阴,东北风,2级
76,13,9,小雨,西北风,1级
77,9,6,小雨,北风,2级
78,10,6,小雨,北风,2级
79,10,2,阴,东风,1级
80,15,2,晴,南风,1级
81,19,6,多云,东北风,微风
82,23,10,多云,东南风,微风
83,21,12,小雨,南风,1级
84,20,9,多云,南风,1级
85,23,11,多云,西南风,1级
86,25,12,晴,南风,微风
87,27,15,多云,东南风,微风
88,23,14,多云,东北风,微风
89,27,14,多云,北风,2级
90,27,14,晴,西南风,微风
91,26,16,小雨,南风,1级
92,27,17,多云,南风,微风
93,30,14,阴,南风,1级
94,17,8,阴,东北风,2级
95,9,5,中雨,北风,2级
96,17,3,多云,东北风,2级
97,18,6,晴,南风,1级
98,23,10,晴,南风,2级
99,27,14,晴,东南风,2级
100,29,18,多云,西南风,微风
101,27,18,小雨,南风,微风
102,26,19,小雨,东北风,2级
103,16,11,小雨,南风,2级
104,15,8,小雨,东北风,1级
105,20,8,多云,东北风,微风
106,22,10,多云,东南风,微风
107,25,12,晴,东南风,1级
108,27,15,晴,南风,微风
109,29,18,多云,东风,2级
110,30,20,多云,东南风,2级
111,25,20,小雨,东南风,2级
112,27,13,大雨,东北风,4级
113,19,12,多云,北风,3级
114,21,14,阴,北风,1级
115,21,15,阴,北风,2级
116,23,13,多云,西南风,2级
117,26,16,晴,东南风,微风
118,28,16,多云,南风,微风
119,27,18,小雨,南风,1级
120,29,20,阴,南风,微风
121,27,20,中雨,西风,1级
122,27,16,多云,东北风,3级
123,27,17,阴,东南风,微风
124,26,19,小雨,南风,1级
125,26,20,大雨,西南风,2级
126,27,17,大雨,北风,2级
127,24,15,阵雨,东北风,2级
128,26,15,晴,东风,微风
129,27,16,阴,西南风,微风
130,25,17,多云,东风,2级
131,24,19,小雨,北风,2级
132,27,18,阴,西南风,2级
133,31,19,晴,东南风,微风
134,33,24,多云,南风,1级
135,33,26,阴,南风,2级
136,33,26,小雨,南风,2级
137,34,24,多云,南风,微风
138,29,22,暴雨,东风,1级
139,29,21,小雨,东风,1级
140,26,21,大雨,东北风,2级
141,26,18,中雨,北风,2级
142,19,16,小雨,西北风,微风
143,25,18,多云,南风,1级
144,30,22,多云,西风,微风
145,32,22,中雨,北风,1级
146,28,20,阴,西北风,微风
147,29,20,多云,西风,微风
148,29,21,多云,西南风,微风
149,28,20,多云,东北风,2级
150,23,18,中雨,北风,1级
151,23,16,小雨,西南风,微风
152,27,19,多云,南风,微风
153,25,18,小雨,西北风,微风
154,28,19,多云,西南风,微风
155,29,19,阴,西风,微风
156,29,20,阴,南风,微风
157,30,20,多云,东北风,微风
158,33,23,多云,东南风,微风
159,29,21,中雨,东北风,1级
160,29,20,阵雨,东北风,2级
161,28,19,多云,东北风,微风
162,32,21,多云,东北风,微风
163,32,21,多云,西南风,1级
164,32,21,多云,东南风,2级
165,32,22,多云,西风,1级
166,35,22,多云,东风,微风
167,33,24,多云,东风,微风
168,33,25,多云,东风,微风
169,33,25,多云,东南风,1级
170,28,23,大雨,南风,2级
171,29,23,小雨,东南风,微风
172,29,23,阴,东风,微风
173,27,23,小雨,东南风,1级
174,31,24,多云,南风,1级
175,32,26,雷阵雨,南风,2级
176,35,27,多云,南风,微风
177,36,28,多云,南风,2级
178,36,28,多云,西南风,1级
179,35,27,小雨,北风,1级
180,33,26,雷阵雨,东南风,微风
181,31,25,中雨,南风,2级
182,31,25,小雨,西南风,2级
183,32,25,小雨,东北风,1级
184,32,26,小雨,东南风,1级
185,34,27,小雨,东北风,微风
186,28,25,中雨,北风,2级
187,30,25,多云,北风,2级
188,29,25,小雨,北风,2级
189,29,25,雷阵雨,东北风,2级
190,31,25,小雨,西风,1级
191,34,26,阴,东北风,微风
192,35,26,多云,东北风,3级
193,30,25,中雨,东南风,1级
194,33,27,多云,东南风,微风
195,36,27,晴,南风,微风
196,36,27,晴,东南风,微风
197,37,27,多云,东南风,微风
198,37,28,多云,东南风,微风
199,37,28,多云,东南风,2级
200,37,28,晴,东南风,1级
201,37,28,晴,东风,微风
202,37,27,晴,北风,2级
203,36,27,多云,东北风,2级
204,37,27,晴,西风,1级
205,37,28,晴,南风,1级
206,37,28,多云,南风,1级
207,37,28,多云,南风,微风
208,37,28,小雨,东风,2级
209,35,27,阴,东南风,1级
210,37,27,阴,东南风,微风
211,37,28,小雨,南风,1级
212,37,26,小雨,东风,微风
213,35,26,雷阵雨,南风,1级
214,36,26,多云,西北风,1级
215,34,26,小雨,西北风,1级
216,33,26,雷阵雨,西南风,微风
217,34,26,多云,西风,1级
218,35,27,小雨,南风,1级
219,35,27,多云,南风,1级
220,36,27,雷阵雨,南风,1级
221,37,27,小雨,西风,1级
222,37,27,多云,东南风,1级
223,37,27,多云,东南风,1级
224,38,27,多云,东北风,2级
225,34,26,雷阵雨,东风,2级
226,34,26,雷阵雨,东北风,1级
227,36,26,雷阵雨,东北风,3级
228,34,26,阴,北风,2级
229,30,23,小雨,西北风,3级
230,28,24,小雨,西风,2级
231,34,25,阴,东风,微风
232,34,25,晴,东风,1级
233,34,24,晴,东风,1级
234,33,24,多云,东风,2级
235,32,22,多云,北风,2级
236,34,23,多云,东北风,2级
237,34,22,多云,东北风,3级
238,30,24,阵雨,北风,3级
239,33,25,多云,北风,2级
240,34,26,多云,东北风,2级
241,36,26,阵雨,东北风,2级
242,35,26,多云,东北风,2级
243,33,25,阵雨,东北风,3级
244,31,25,小雨,北风,1级
245,33,26,多云,南风,微风
246,34,24,阵雨,东南风,1级
247,35,24,多云,东风,3级
248,34,24,多云,西北风,1级
249,27,21,小雨,北风,3级
250,26,17,多云,东风,1级
251,29,19,多云,南风,微风
252,28,22,多云,西北风,2级
253,29,21,多云,东风,1级
254,32,23,多云,东北风,1级
255,32,22,多云,北风,3级
256,29,22,阴,东北风,2级
257,33,24,阴,南风,1级
258,34,24,多云,南风,1级
259,28,20,小雨,东北风,2级
260,26,19,小雨,东南风,微风
261,28,17,阴,东北风,微风
262,30,18,多云,西南风,1级
263,30,20,多云,西风,微风
264,24,18,小雨,东北风,3级
265,22,17,小雨,西北风,2级
266,25,17,多云,西风,1级
267,27,15,多云,南风,1级
268,28,15,晴,东南风,1级
269,29,15,晴,北风,微风
270,25,13,多云,北风,微风
271,26,13,多云,东南风,微风
272,27,13,多云,南风,1级
273,28,12,晴,北风,1级
274,28,12,晴,北风,1级
275,29,12,晴,东北风,微风
276,27,15,多云,东风,微风
277,27,17,小雨,西南风,1级
278,23,13,多云,西风,1级
279,24,9,晴,东风,1级
280,25,10,多云,东南风,2级
281,23,14,多云,东南风,1级
282,16,13,小雨,北风,2级
283,18,13,小雨,北风,1级
284,21,12,小雨,东北风,微风
285,24,12,多云,东北风,2级
286,23,12,多云,东北风,3级
287,18,12,小雨,东北风,微风
288,19,13,小雨,西北风,1级
289,17,12,小雨,北风,1级
290,22,11,多云,西南风,1级
291,24,13,晴,东风,微风
292,24,14,多云,东风,微风
293,22,15,小雨,北风,微风
294,23,7,晴,西南风,微风
295,24,8,晴,东南风,微风
296,25,8,晴,南风,1级
297,26,9,晴,西风,1级
298,26,9,多云,东风,1级
299,27,8,晴,北风,微风
300,25,7,晴,东南风,1级
301,22,10,多云,东南风,2级
302,23,11,晴,北风,微风
303,24,15,多云,东北风,1级
304,18,13,多云,东北风,3级
305,11,7,中雨,北风,3级
306,9,5,小雨,西北风,2级
307,16,3,多云,西南风,2级
308,19,7,多云,东南风,2级
309,18,10,小雨,西北风,3级
310,18,9,多云,东北风,3级
311,18,7,多云,西北风,1级
312,18,10,多云,东南风,2级
313,16,12,小雨,东北风,2级
314,15,10,小雨,东北风,3级
315,14,10,小雨,东北风,3级
316,12,7,小雨,东北风,3级
317,11,3,小雨,东北风,2级
318,14,3,多云,东南风,2级
319,15,8,多云,西北风,2级
320,15,1,多云,东北风,3级
321,16,2,多云,东南风,2级
322,17,3,晴,东南风,2级
323,18,7,晴,东北风,2级
324,18,3,晴,东南风,1级
325,19,4,多云,东南风,2级
326,20,5,晴,东北风,1级
327,20,6,晴,东南风,1级
328,20,9,多云,东北风,2级
329,19,9,多云,东北风,2级
330,17,9,多云,东北风,2级
331,14,11,小雨,东北风,1级
332,12,6,中雨,东北风,3级
333,10,6,小雨,东北风,3级
334,9,4,小雨,东北风,3级
335,6,2,小雨,东北风,4级
336,4,0,雨夹雪,东北风,3级
337,2,0,小雪,东北风,2级
338,3,0,多云,东北风,1级
339,3,0,雨夹雪,西北风,2级
340,5,-4,多云,东北风,4级
341,5,-3,多云,东北风,1级
342,8,-2,晴,东北风,1级
343,8,-3,晴,东北风,2级
344,7,1,阴,西北风,1级
345,14,0,晴,西南风,2级
346,14,0,晴,东南风,2级
347,16,0,多云,东南风,2级
348,11,6,小雨,东北风,2级
349,12,8,雾,东北风,2级
350,13,8,阴,东北风,2级
351,9,3,中雨,东北风,3级
352,11,4,多云,东北风,3级
353,11,6,阴,东北风,2级
354,6,5,小雨,西南风,2级
355,6,2,小雨,西北风,2级
356,5,0,阴,东北风,3级
357,0,-1,阴,东北风,3级
358,1,-2,阴,东北风,2级
